Region;Regions-ID;KV;Kreistyp;Wert;Bundeswert;;Inzidenz in Prozent;Anzahl;;Inzidenz;
Peine, Kreis;3157;NI;Verdichtetes Umland;94,75;80,18;;0,75;1;;0,0075;100
Dessau-Roßlau, Kreisfreie Stadt;15001;ST;Ländlicher Raum;92,92;80,18;;;;;;
Zweibrücken, Kreisfreie Stadt;7320;RP;Verdichtetes Umland;91,96;80,18;;2,89;1;;0,0289;
Salzgitter, Kreisfreie Stadt;3102;NI;Kernstädte;91,65;80,18;;1,91;2;;0,0191;
Wolfsburg, Kreisfreie Stadt;3103;NI;Kernstädte;91,48;80,18;;;;;;
Güstrow, Kreis;13053;MV;Ländliches Umland;91,37;80,18;;;;;;
Wunsiedel i.Fichtelgebirge, Kreis;9479;BY;Ländlicher Raum;91,34;80,18;;1,29;1;;0,0129;
Grafschaft Bentheim, Kreis;3456;NI;Ländlicher Raum;91,3;80,18;;4,45;6;;0,0445;
Warendorf, Kreis;5570;WL;Verdichtetes Umland;91,12;80,18;;2,51;7;;0,0251;
Vechta, Kreis;3460;NI;Verdichtetes Umland;90,83;80,18;;2,22;3;;0,0222;
Magdeburg, Kreisfreie Stadt;15003;ST;Kernstädte;90,15;80,18;;2,15;5;;0,0215;
Schweinfurt, Kreisfreie Stadt;9662;BY;Ländlicher Raum;90,13;80,18;;3,74;2;;0,0374;
Mannheim, Kreisfreie Stadt;8222;BW;Kernstädte;89,88;80,18;;1,3;4;;0,013;
Wilhelmshaven, Kreisfreie Stadt;3405;NI;Verdichtetes Umland;89,8;80,18;;;;;;
Wittenberg, Kreis;15091;ST;Ländlicher Raum;89,56;80,18;;;;;;
Erlangen, Kreisfreie Stadt;9562;BY;Kernstädte;89,5;80,18;;2,82;3;;0,0282;
Offenbach am Main, Kreisfreie Stadt;6413;HE;Kernstädte;89,46;80,18;;;;;;
Wolfenbüttel, Kreis;3158;NI;Verdichtetes Umland;89,33;80,18;;0,81;1;;0,0081;
Braunschweig, Kreisfreie Stadt;3101;NI;Kernstädte;89,32;80,18;;1,21;3;;0,0121;
Herne, Kreisfreie Stadt;5916;WL;Kernstädte;89,23;80,18;;4,29;7;;0,0429;
Unstrut-Hainich-Kreis;16064;TH;Ländlicher Raum;89,12;80,18;;;;;;
Müritz, Kreis;13056;MV;Ländlicher Raum;89,06;80,18;;;;;;
Soest, Kreis;5974;WL;Verdichtetes Umland;88,91;80,18;;2,3;7;;0,023;
Bergstraße, Kreis;6431;HE;Verdichtetes Umland;88,77;80,18;;0,75;2;;0,0075;
Paderborn, Kreis;5774;WL;Verdichtetes Umland;88,65;80,18;;0,67;2;;0,0067;
Brandenburg an der Havel, Kreisfreie Stadt;12051;BB;Ländliches Umland;88,59;80,18;;;;;;
Heilbronn, Kreisfreie Stadt;8121;BW;Kernstädte;88,58;80,18;;;;;;
Coesfeld, Kreis;5558;WL;Verdichtetes Umland;88,35;80,18;;2,28;5;;0,0228;
Delmenhorst, Kreisfreie Stadt;3401;NI;Ländliches Umland;88,34;80,18;;1,32;1;;0,0132;
Mayen-Koblenz, Kreis;7137;RP;Verdichtetes Umland;88,23;80,18;;1,88;4;;0,0188;
Nordhausen, Kreis;16062;TH;Ländlicher Raum;88,18;80,18;;1,12;1;;0,0112;
Hersfeld-Rotenburg, Kreis;6632;HE;Ländlicher Raum;88,16;80,18;;0,81;1;;0,0081;
Greifswald, Kreisfreie Stadt;13001;MV;Ländlicher Raum;88,12;80,18;;;;;;
Ahrweiler, Kreis;7131;RP;Verdichtetes Umland;88,1;80,18;;3,88;5;;0,0388;
Schwabach, Kreisfreie Stadt;9565;BY;Verdichtetes Umland;88,1;80,18;;;;;;
Ludwigslust, Kreis;13054;MV;Ländlicher Raum;87,92;80,18;;;;;;
Neunkirchen, Kreis;10043;SL;Verdichtetes Umland;87,91;80,18;;1,45;2;;0,0145;
Börde, Kreis;15083;ST;Ländliches Umland;87,83;80,18;;1,11;2;;0,0111;
Siegen-Wittgenstein, Kreis;5970;WL;Verdichtetes Umland;87,82;80,18;;2,11;6;;0,0211;
Osnabrück, Kreisfreie Stadt;3404;NI;Kernstädte;87,76;80,18;;1,23;2;;0,0123;
Groß-Gerau, Kreis;6433;HE;Verdichtetes Umland;87,75;80,18;;1,54;4;;0,0154;
Cloppenburg, Kreis;3453;NI;Ländliches Umland;87,7;80,18;;0,62;1;;0,0062;
Koblenz, Kreisfreie Stadt;7111;RP;Kernstädte;87,7;80,18;;2,74;3;;0,0274;
Neumünster, Kreisfreie Stadt;1004;SH;Verdichtetes Umland;87,6;80,18;;3,83;3;;0,0383;
Emsland, Kreis;3454;NI;Ländlicher Raum;87,6;80,18;;0,95;3;;0,0095;
Frankfurt (Oder), Kreisfreie Stadt;12053;BB;Ländliches Umland;87,53;80,18;;4,9;3;;0,049;
Hof, Kreisfreie Stadt;9464;BY;Ländlicher Raum;87,5;80,18;;;;;;
Borken, Kreis;5554;WL;Verdichtetes Umland;87,46;80,18;;2,99;11;;0,0299;
Helmstedt, Kreis;3154;NI;Ländliches Umland;87,23;80,18;;1,06;1;;0,0106;
Erlangen-Höchstadt, Kreis;9572;BY;Verdichtetes Umland;87,13;80,18;;0,76;1;;0,0076;
Havelland, Kreis;12063;BB;Ländliches Umland;87,1;80,18;;0,64;1;;0,0064;
Ludwigshafen am Rhein, Kreisfreie Stadt;7314;RP;Kernstädte;87,09;80,18;;;;;;
Pirmasens, Kreisfreie Stadt;7317;RP;Verdichtetes Umland;87,08;80,18;;12,05;5;;0,1205;
Mönchengladbach, Kreisfreie Stadt;5116;NO;Kernstädte;87,06;80,18;;1,92;5;;0,0192;
Main-Spessart, Kreis;9677;BY;Ländliches Umland;86,82;80,18;;;;;;
Eichsfeld, Kreis;16061;TH;Ländlicher Raum;86,82;80,18;;0,95;1;;0,0095;
Main-Taunus-Kreis;6436;HE;Verdichtetes Umland;86,77;80,18;;;;;;
Celle, Kreis;3351;NI;Ländlicher Raum;86,7;80,18;;3,9;7;;0,039;
Amberg, Kreisfreie Stadt;9361;BY;Ländlicher Raum;86,59;80,18;;;;;;
Hildesheim, Kreis;3254;NI;Verdichtetes Umland;86,57;80,18;;1,06;3;;0,0106;
Offenbach, Kreis;6438;HE;Verdichtetes Umland;86,55;80,18;;2,34;8;;0,0234;
Gelsenkirchen, Kreisfreie Stadt;5513;WL;Kernstädte;86,52;80,18;;2,66;7;;0,0266;
Olpe, Kreis;5966;WL;Verdichtetes Umland;86,5;80,18;;1,45;2;;0,0145;
Osterholz, Kreis;3356;NI;Verdichtetes Umland;86,49;80,18;;0,89;1;;0,0089;
Kyffhäuserkreis;16065;TH;Ländlicher Raum;86,48;80,18;;;;;;
Hamm, Kreisfreie Stadt;5915;WL;Kernstädte;86,47;80,18;;1,66;3;;0,0166;
Darmstadt, Kreisfreie Stadt;6411;HE;Kernstädte;86,43;80,18;;0,68;1;;0,0068;
Saarpfalz-Kreis;10045;SL;Verdichtetes Umland;86,36;80,18;;;;;;
Stralsund, Kreisfreie Stadt;13005;MV;Ländlicher Raum;86,35;80,18;;;;;;
Recklinghausen, Kreis;5562;WL;Verdichtetes Umland;86,16;80,18;;0,48;3;;0,0048;
Aurich, Kreis;3452;NI;Verdichtetes Umland;86,12;80,18;;2,64;5;;0,0264;
Südwestpfalz, Kreis;7340;RP;Verdichtetes Umland;86,12;80,18;;;;;;
Mansfeld-Südharz, Kreis;15087;ST;Ländliches Umland;86,12;80,18;;;;;;
Hagen, Kreisfreie Stadt;5914;WL;Kernstädte;86,02;80,18;;1,56;3;;0,0156;
Wismar, Kreisfreie Stadt;13006;MV;Ländlicher Raum;85,97;80,18;;;;;;
Kitzingen, Kreis;9675;BY;Ländliches Umland;85,96;80,18;;6,72;6;;0,0672;
Oldenburg (Oldenburg), Kreisfreie Stadt;3403;NI;Kernstädte;85,95;80,18;;;;;;
Frankfurt am Main, Kreisfreie Stadt;6412;HE;Kernstädte;85,91;80,18;;1,59;11;;0,0159;
Rostock, Kreisfreie Stadt;13003;MV;Kernstädte;85,91;80,18;;1,48;3;;0,0148;
Märkischer Kreis;5962;WL;Verdichtetes Umland;85,89;80,18;;;;;;
Region Hannover, Kreis;3241;NI;Verdichtetes Umland;85,88;80,18;;;;;;
Nordvorpommern, Kreis;13057;MV;Ländlicher Raum;85,84;80,18;;;;;;
Weiden i.d.OPf., Kreisfreie Stadt;9363;BY;Ländlicher Raum;85,82;80,18;;4,72;2;;0,0472;
Bottrop, Kreisfreie Stadt;5512;WL;Kernstädte;85,78;80,18;;2,54;3;;0,0254;
Unna, Kreis;5978;WL;Verdichtetes Umland;85,74;80,18;;4,4;18;;0,044;
Anhalt-Bitterfeld, Kreis;15082;ST;Ländlicher Raum;85,71;80,18;;;;;;
Darmstadt-Dieburg, Kreis;6432;HE;Verdichtetes Umland;85,65;80,18;;1,37;4;;0,0137;
Wesermarsch, Kreis;3461;NI;Ländliches Umland;85,63;80,18;;;;;;
Schweinfurt, Kreis;9678;BY;Ländlicher Raum;85,56;80,18;;0,87;1;;0,0087;
Hochtaunuskreis;6434;HE;Verdichtetes Umland;85,52;80,18;;;;;;
Esslingen, Kreis;8116;BW;Verdichtetes Umland;85,52;80,18;;2,51;13;;0,0251;
Wiesbaden, Kreisfreie Stadt;6414;HE;Kernstädte;85,51;80,18;;2,18;6;;0,0218;
Ostvorpommern, Kreis;13059;MV;Ländlicher Raum;85,5;80,18;;;;;;
Marburg-Biedenkopf, Kreis;6534;HE;Verdichtetes Umland;85,46;80,18;;5,22;13;;0,0522;
Osterode am Harz, Kreis;3156;NI;Ländliches Umland;85,44;80,18;;;;;;
Harz, Kreis;15085;ST;Ländliches Umland;85,41;80,18;;2,15;5;;0,0215;
Heilbronn, Kreis;8125;BW;Verdichtetes Umland;85,33;80,18;;0,6;2;;0,006;
Aschaffenburg, Kreisfreie Stadt;9661;BY;Verdichtetes Umland;85,32;80,18;;1,45;1;;0,0145;
Rotenburg (Wümme), Kreis;3357;NI;Ländliches Umland;85,3;80,18;;1,22;2;;0,0122;
Stade, Kreis;3359;NI;Verdichtetes Umland;85,24;80,18;;0,51;1;;0,0051;
Bochum, Kreisfreie Stadt;5911;WL;Kernstädte;85,22;80,18;;2,94;11;;0,0294;
Neubrandenburg, Kreisfreie Stadt;13002;MV;Ländlicher Raum;85,2;80,18;;;;;;
Stendal, Kreis;15090;ST;Ländlicher Raum;85,2;80,18;;0,82;1;;0,0082;
Ulm, Kreisfreie Stadt;8421;BW;Kernstädte;85,19;80,18;;1,64;2;;0,0164;
Tübingen, Kreis;8416;BW;Verdichtetes Umland;85,1;80,18;;0,46;1;;0,0046;
Remscheid, Kreisfreie Stadt;5120;NO;Kernstädte;85,08;80,18;;0,89;1;;0,0089;
Steinburg, Kreis;1061;SH;Ländlicher Raum;84,99;80,18;;2,25;3;;0,0225;
Harburg, Kreis;3353;NI;Verdichtetes Umland;84,96;80,18;;0,41;1;;0,0041;
Bernkastel-Wittlich, Kreis;7231;RP;Ländliches Umland;84,88;80,18;;4,45;5;;0,0445;
Solingen, Kreisfreie Stadt;5122;NO;Kernstädte;84,86;80,18;;3,74;6;;0,0374;
Parchim, Kreis;13060;MV;Ländlicher Raum;84,73;80,18;;;;;;
Main-Kinzig-Kreis;6435;HE;Verdichtetes Umland;84,68;80,18;;;;;;
Holzminden, Kreis;3255;NI;Ländliches Umland;84,6;80,18;;;;;;
Ostprignitz-Ruppin, Kreis;12068;BB;Ländlicher Raum;84,58;80,18;;0,97;1;;0,0097;
Elbe-Elster, Kreis;12062;BB;Ländliches Umland;84,54;80,18;;;;;;
Reutlingen, Kreis;8415;BW;Verdichtetes Umland;84,53;80,18;;1,42;4;;0,0142;
Alb-Donau-Kreis;8425;BW;Ländliches Umland;84,53;80,18;;;;;;
Straubing-Bogen, Kreis;9278;BY;Ländlicher Raum;84,47;80,18;;2,04;2;;0,0204;
Lörrach, Kreis;8336;BW;Verdichtetes Umland;84,46;80,18;;2,24;5;;0,0224;
Jena, Kreisfreie Stadt;16053;TH;Kernstädte;84,43;80,18;;0,94;1;;0,0094;
Rhein-Pfalz-Kreis;7338;RP;Verdichtetes Umland;84,37;80,18;;;;;;
Flensburg, Kreisfreie Stadt;1001;SH;Ländlicher Raum;84,32;80,18;;1,15;1;;0,0115;
Rastatt, Kreis;8216;BW;Verdichtetes Umland;84,31;80,18;;2,64;6;;0,0264;
Jerichower Land;15086;ST;Ländliches Umland;84,23;80,18;;;;;;
Germersheim, Kreis;7334;RP;Verdichtetes Umland;84,18;80,18;;;;;;
Dahme-Spreewald, Kreis;12061;BB;Ländliches Umland;84,11;80,18;;1,23;2;;0,0123;
Lübeck, Kreisfreie Stadt;1003;SH;Kernstädte;84,04;80,18;;4,22;9;;0,0422;
Rheingau-Taunus-Kreis;6439;HE;Verdichtetes Umland;84,01;80,18;;;;;;
Worms, Kreisfreie Stadt;7319;RP;Verdichtetes Umland;83,99;80,18;;;;;;
Bielefeld, Kreisfreie Stadt;5711;WL;Kernstädte;83,98;80,18;;0,61;2;;0,0061;
Osnabrück, Kreis;3459;NI;Verdichtetes Umland;83,78;80,18;;1,96;7;;0,0196;
Sömmerda, Kreis;16068;TH;Ländliches Umland;83,78;80,18;;2,72;2;;0,0272;
Cottbus, Kreisfreie Stadt;12052;BB;Kernstädte;83,74;80,18;;1,96;2;;0,0196;
Demmin, Kreis;13052;MV;Ländlicher Raum;83,74;80,18;;;;;;
Böblingen, Kreis;8115;BW;Verdichtetes Umland;83,73;80,18;;1,59;6;;0,0159;
Schwalm-Eder-Kreis;6634;HE;Ländliches Umland;83,72;80,18;;;;;;
Herzogtum Lauenburg, Kreis;1053;SH;Ländliches Umland;83,71;80,18;;2,64;5;;0,0264;
Main-Tauber-Kreis;8128;BW;Ländliches Umland;83,68;80,18;;;;;;
Lippe, Kreis;5766;WL;Verdichtetes Umland;83,64;80,18;;0,28;1;;0,0028;
Emmendingen, Kreis;8316;BW;Verdichtetes Umland;83,62;80,18;;1,26;2;;0,0126;
Günzburg, Kreis;9774;BY;Verdichtetes Umland;83,59;80,18;;4,9;6;;0,049;
Fulda, Kreis;6631;HE;Ländlicher Raum;83,56;80,18;;0,91;2;;0,0091;
Kaiserslautern, Kreisfreie Stadt;7312;RP;Verdichtetes Umland;83,56;80,18;;1,01;1;;0,0101;
München, Kreis;9184;BY;Verdichtetes Umland;83,56;80,18;;2,15;7;;0,0215;
Leverkusen, Kreisfreie Stadt;5316;NO;Kernstädte;83,51;80,18;;1,85;3;;0,0185;
Nürnberger Land, Kreis;9574;BY;Verdichtetes Umland;83,48;80,18;;0,6;1;;0,006;
Essen, Kreisfreie Stadt;5113;NO;Kernstädte;83,47;80,18;;3,27;19;;0,0327;
Ammerland, Kreis;3451;NI;Verdichtetes Umland;83,44;80,18;;;;;;
Schwerin, Kreisfreie Stadt;13004;MV;Ländlicher Raum;83,43;80,18;;;;;;
Sonneberg, Kreis;16072;TH;Ländlicher Raum;83,33;80,18;;;;;;
Teltow-Fläming, Kreis;12072;BB;Ländliches Umland;83,32;80,18;;1,84;3;;0,0184;
Heinsberg, Kreis;5370;NO;Verdichtetes Umland;83,3;80,18;;1,18;3;;0,0118;
Herford, Kreis;5758;WL;Verdichtetes Umland;83,24;80,18;;1,59;4;;0,0159;
Kiel, Kreisfreie Stadt;1002;SH;Kernstädte;83,22;80,18;;3,75;9;;0,0375;
Cham, Kreis;9372;BY;Ländliches Umland;83,21;80,18;;2,33;3;;0,0233;
Schwandorf, Kreis;9376;BY;Ländlicher Raum;83,19;80,18;;1,38;2;;0,0138;
Saale-Holzland-Kreis;16074;TH;Ländliches Umland;83,12;80,18;;;;;;
Dortmund, Kreisfreie Stadt;5913;WL;Kernstädte;83,11;80,18;;2,39;14;;0,0239;
Oberspreewald-Lausitz, Kreis;12066;BB;Ländliches Umland;83,03;80,18;;4,1;5;;0,041;
Saale-Orla-Kreis;16075;TH;Ländliches Umland;83,03;80,18;;;;;;
Heidelberg, Kreisfreie Stadt;8221;BW;Kernstädte;83,01;80,18;;2;3;;0,02;
Hof, Kreis;9475;BY;Ländlicher Raum;83,01;80,18;;1,99;2;;0,0199;
Mettmann, Kreis;5158;NO;Verdichtetes Umland;82,97;80,18;;0,81;4;;0,0081;
Regensburg, Kreisfreie Stadt;9362;BY;Kernstädte;82,94;80,18;;2,89;4;;0,0289;
Rhein-Neckar-Kreis;8226;BW;Verdichtetes Umland;82,82;80,18;;;;;;
München, Kreisfreie Stadt;9162;BY;Kernstädte;82,78;80,18;;2,35;32;;0,0235;
Kassel, Kreis;6633;HE;Verdichtetes Umland;82,7;80,18;;0,42;1;;0,0042;
Karlsruhe, Kreis;8215;BW;Verdichtetes Umland;82,7;80,18;;3,23;14;;0,0323;
Oberhausen, Kreisfreie Stadt;5119;NO;Kernstädte;82,68;80,18;;1,4;3;;0,014;
Saarbrücken, Regionalverband;10041;SL;Kernstädte;82,66;80,18;;;;;;
Fürth, Kreis;9573;BY;Verdichtetes Umland;82,65;80,18;;0,87;1;;0,0087;
Salzlandkreis;15089;ST;Verdichtetes Umland;82,64;80,18;;;;;;
Freudenstadt, Kreis;8237;BW;Ländliches Umland;82,57;80,18;;;;;;
Schleswig-Flensburg, Kreis;1059;SH;Ländlicher Raum;82,48;80,18;;1,51;3;;0,0151;
Suhl, Kreisfreie Stadt;16054;TH;Ländlicher Raum;82,45;80,18;;;;;;
Emden, Kreisfreie Stadt;3402;NI;Verdichtetes Umland;82,44;80,18;;7,85;4;;0,0785;
Kronach, Kreis;9476;BY;Ländliches Umland;82,4;80,18;;;;;;
Bad Doberan, Kreis;13051;MV;Ländliches Umland;82,4;80,18;;;;;;
Saarlouis, Kreis;10044;SL;Verdichtetes Umland;82,35;80,18;;1,48;3;;0,0148;
Zollernalbkreis;8417;BW;Verdichtetes Umland;82,32;80,18;;;;;;
Bremerhaven, Kreisfreie Stadt;4012;HB;Kernstädte;82,28;80,18;;0,88;1;;0,0088;
Neustadt a.d.Aisch-Bad Windsheim, Kreis;9575;BY;Ländlicher Raum;82,24;80,18;;;;;;
Miltenberg, Kreis;9676;BY;Verdichtetes Umland;82,15;80,18;;3,86;5;;0,0386;
St. Wendel, Kreis;10046;SL;Verdichtetes Umland;82,01;80,18;;;;;;
Westerwaldkreis;7143;RP;Verdichtetes Umland;82;80,18;;;;;;
Fürstenfeldbruck, Kreis;9179;BY;Verdichtetes Umland;81,98;80,18;;3,38;7;;0,0338;
Hameln-Pyrmont, Kreis;3252;NI;Verdichtetes Umland;81,95;80,18;;0,65;1;;0,0065;
Gütersloh, Kreis;5754;WL;Verdichtetes Umland;81,88;80,18;;1,97;7;;0,0197;
Plön, Kreis;1057;SH;Ländliches Umland;81,87;80,18;;;;;;
Segeberg, Kreis;1060;SH;Verdichtetes Umland;81,84;80,18;;3,42;9;;0,0342;
Rhein-Erft-Kreis;5362;NO;Verdichtetes Umland;81,84;80,18;;;;;;
Fürth, Kreisfreie Stadt;9563;BY;Kernstädte;81,82;80,18;;3,38;4;;0,0338;
Karlsruhe, Kreisfreie Stadt;8212;BW;Kernstädte;81,78;80,18;;1,69;5;;0,0169;
Potsdam-Mittelmark, Kreis;12069;BB;Ländliches Umland;81,75;80,18;;0,96;2;;0,0096;
Oldenburg, Kreis;3458;NI;Ländliches Umland;81,74;80,18;;;;;;
Uckermark, Kreis;12073;BB;Ländlicher Raum;81,69;80,18;;0,77;1;;0,0077;
Saalekreis;15088;ST;Ländliches Umland;81,67;80,18;;;;;;
Dithmarschen, Kreis;1051;SH;Ländlicher Raum;81,62;80,18;;2,22;3;;0,0222;
Enzkreis;8236;BW;Verdichtetes Umland;81,55;80,18;;;;;;
Straubing, Kreisfreie Stadt;9263;BY;Ländlicher Raum;81,48;80,18;;4,39;2;;0,0439;
Vogelsbergkreis;6535;HE;Ländliches Umland;81,47;80,18;;;;;;
Ludwigsburg, Kreis;8118;BW;Verdichtetes Umland;81,47;80,18;;1,53;8;;0,0153;
Lahn-Dill-Kreis;6532;HE;Verdichtetes Umland;81,45;80,18;;;;;;
Haßberge, Kreis;9674;BY;Ländlicher Raum;81,45;80,18;;1,17;1;;0,0117;
